Origin,Name,Job Rank,Ability Type,Specific Ability Type,Size,Type,Memory,Tags,Action,Range,Damage,Text,Rarity,HP,Recoveries,Dodge,Speed,Memory Increase,Stresscap,A-Def,MP,Armor,Save Target,Scope,Size
Arsenal,Mana Siphon,2,Support,Support,Light,,,Enchantment,-,,,"You may use one of the following enchantments at a time:
- Any LIGHT Weapon: On a crit with this weapon, the target loses 1 MP and you regain MP equal to the amount they lost.
- Any MAIN Weapon: On a crit with this weapon, the target loses 2 MP and you regain MP equal to the amount they lost.
- Any HEAVY Weapon: On a crit with this weapon, the target loses 3 MP and you regain MP equal to the amount they lost.",,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Phantom Armory,0,Weapon,Melee or Ranged Weapon,Variable Size,and Type,,,{3} Volley (Ranged Profiles) or {5} Fight (Melee Profiles),,,"Ranged Profiles
Artifact: Aetheric | [{Range} 10] | [1d6 {Astral}]
Bow: Arcing | [{Range} 10] | [1d6 {Physical}]
Magitech: Reliable 2 | [{Range} 5, {Reach} 3] | [1d6 {Force}]
Melee Profiles
Blade: Accurate | [{Reach} 1] | [1d6+1 {Physical}]
Club: Push 2 [{Reach} 1] | [1d6+1 {Physical}]
Longarm: [{Reach} 2] | [1d6+1 {Physical}]

Minor Action: You can set any size for this weapon and choose one of the above profiles. This lasts until the end of the scene or until you next change it.
1/round when you would take damage from a non-Aetheric attack, you can choose one of the profiles and roll its damage, reducing the damage you take by that amount (after {ARMOR} and resistance). That profile can't be used until the end of the scene. You can't use this effect if you are unable to take reactions.",,,,,,,,,,,,,
Arsenal,Walking Armory,0,Trait,Job Trait,,,,,,,,"When you {1} REFRESH, you can spend 1 MP to repair one of your destroyed weapons or support items. During a Short Rest, you can repair one weapon and one support item for free.",,,,,,,,,,,,,
Arsenal,Weapon for the Job,1,Skill,Skill,,,1,-,-,,-,"When you attack with a weapon, you can spend 1 MP to change the damage to another non-{Discord} damage type of your choice (i.e., {Physical}, {Astral}, {Lunar}, or {Force}). This new damage type remains until you use this ability again.",,0,0,0,0,0,0,0,0,0,0,0,0
Artificer,Experimental Weapon,,Talent,Rank 1,,,,,,,,"When you gain this talent or during a Long Rest, you create an Experimental Weapon, which is equipped for free . You can only have one Experimental Weapon at a time.",,,,,,,,,,,,,
Artificer,Improvements,,Talent,Rank 2,,,,,,,,"Your Experimental Weapon only malfunctions on a result of 6 on the Malfunction Die. Additionally, you may choose two of the following improvements for your weapon each time you equip it or during Long Rests.
- +Tag (Can be Chosen Twice): Your Experimental Weapon gains one of the following: Accurate, Aetheric, Arcing, Push 1, Reliable 2, or Thrown 5.
- +AOE: When you attack with your Experimental Weapon, you can spend 1 MP to attack with either of the following AOEs instead of its normal {Range}.
- Ranged Weapon: [{Line} 8], or [{Blast} 1] with weapon's {Range}.
- Melee Weapon: [{Burst} 1] or [{Close Blast} 1].",,,,,,,,,,,,,
Artificer,Perfection,,Talent,Rank 3,,,,,,,,"Your Experimental Weapon no longer malfunctions and loses the Reloading tag. Additionally, when you equip your Experimental Weapon or during a Long Rest, you may choose one of the following improvements for your weapon:
- Clunky: Your weapon's damage becomes 2d6+3 but it gains Reloading.
- Increased Range: Your weapon gains +1 {Reach} if melee or +5 {Range} if ranged.
- Increased Damage: Your weapon's damage becomes 1d6+4.
- Punch Through: Your weapon gains Piercing.",,,,,,,,,,,,,
Artillerist,Aetheric Bombard,,Talent,Rank 3,,,,,,,,"Siege Mode has the following effects:
- You gain +3 SCOPE.
- Your spells gain Arcing.
- You have immunity to all forced movement and benefit from soft cover against attacks further than [{Range} 8].",,,,,,,,,,,,,
Artillerist,Siege Ammo,,Talent,Rank 2,,,,,,,,"1/round when you make a ranged weapon attack in Siege Mode, you can spend 1 MP to apply one of the following effects in a [{Burst} 1] AOE around one of the targets. The primary target is included in the area.
- Aethermarker Round: Characters in the AOE must make a MAGIC save. Failure: They are MARKED.
- Concussion Round: Characters in the AOE must make a MIND save. Failure: They are DAZED until the end of their next turn.
- Grounding Round: Characters in the AOE must make a BULK save. Failure: They are knocked PRONE.
- Shrapnel Round: Characters in the AOE must make an AGILITY save. Failure: They take [2 Piercing {Physical}].",,,,,,,,,,,,,
Artillerist,Siege Mode,,Talent,Rank 1,,,,,,,,"You may use your standard movement to enter or exit Siege Mode instead of moving. While in Siege Mode, you are always IMMOBILIZED and your ranged weapon attacks gain +3 {Range} and Arcing.",,,,,,,,,,,,,
Assassin,Throatcutter,1,Weapon,Melee Weapon,Light,Blade,-,Thrown 5,(5) Fight,"Reach 1, Thrown ",1d3+1 Physical,You can {5} FIGHT with this weapon during PHASE {3} SKIRMISH.,,0,0,0,0,0,0,0,0,0,0,0,0
Assassin,Assassinate,0,Trait,Job Trait,,,,,,,,"1/round, you may deal +1d6 bonus damage on a hit with a melee attack if you are HIDDEN or if you are the only character adjacent to the target.",,,,,,,,,,,,,
Assassin,Death Strike,3,Skill,Skill,,,4,-,-,,-,"1/round when you critically hit a BLOODIED or BREAKING enemy with a weapon or spell attack, there is a chance the target will take an instant Wound or Overstress:
- If the target is BLOODIED and the attack deals damage, they must make a BULK save. Failure: They take a Wound instead of taking the usual damage.
- If the target is BREAKING and the attack deals {Stress}, they must make a MIND save. Failure: They take an Overstress instead of taking the usual damage.",,0,0,0,0,0,0,0,0,0,0,0,0
Assassin,Exterminate,0,Limit Break,Limit Break,,,,,Free Action,,,"Until the end of the scene, your Preparation trait grants 1 Prep at the end of each of your turns, or 2 Prep if you are HIDDEN, instead of the Prep you would usually gain. Assassinate now deals 1d6+X bonus damage, where X is the amount of Prep spent on the attack.",,,,,,,,,,,,,
Assassin,Garrote,2,Support,Support,Light,,,,,,,"When you successfully {5} GRAPPLE a target, they are SILENCED for the duration of the grapple. Additionally, they take [1 Piercing {Physical}] for every space moved while GRAPPLED in this way, to a maximum amount of damage each turn equal to your SPEED.
You can only garrote one target at a time, and a character can only be garroted by one character at a time.",,0,0,0,0,0,0,0,0,0,0,0,0
Assassin,Master of Stealth,1,Skill,Skill,,,2,-,-,,-,"To end your HIDDEN status at the end of their turn, enemies must be within 10 spaces of you. Additionally, enemies receive +1 {Difficulty} to {3} SEARCH for you.",,0,0,0,0,0,0,0,0,0,0,0,0
Assassin,Poisoner's Kit,2,Support,Support,Main,,,Consumable 3,,,,"You may expend a charge when you hit with a non-Aetheric weapon attack. The target takes [2 {Discord}] and is affected by one of the following poisons (your choice) for as long as they have any {Discord} originating from this ability:
- Deathbite: Whenever the target fails the MAGIC check to clear their {Discord}, their {Discord} doubles before they take discord damage.
- Ghoulblood: The target is WEAKENED.
- Midnight Malice: The target is BLINDED and can't reveal HIDDEN enemies.",,0,0,0,0,0,0,0,0,0,0,0,0
Assassin,Preparation,0,Trait,Job Trait,,,,,,,,"At the end of each of your turns while HIDDEN, you gain 1 Prep, to a maximum of 6. After making an attack roll, you can decide to spend any amount of Prep, adding +1 to the attack roll per Prep. Prep lasts for the rest of the scene or until spent.",,,,,,,,,,,,,
Assassin,Reaper's Shroud,3,Support,Support,Light,,,Armor,-,,,"+1 {ARMOR}.
Whenever you defeat an enemy, you become INVISIBLE until the start of your next turn.",,0,0,0,0,0,0,0,0,1,0,0,0
Avenger,Conviction,0,Trait,Job Trait,,,,,,,,You gain +2 Armor while Bloodied or Breaking.,,0,0,0,0,0,0,0,0,0,0,0,0
Avenger,Vow of Vengeance,0,Trait,Job Trait,,,,Mana 1,Minor Action,Range = Scope,,"You designate an enemy within Range as the target of your vengeance. 1/turn when you make a melee attack roll against your nominated target, you can roll an additional d20 and use either result.
You can't use Vow of Vengeance on another enemy until the current target is defeated or the scene ends.",,0,0,0,0,0,0,0,0,0,0,0,0
Avenger,Avenging Strikes,0,Limit Break,Limit Break,,,,,Free Action,,,"1/round for the rest of the scene, you can deal +1d6 bonus damage on a melee attack against your Vow of Vengeance target. You also gain the Punish the Wicked reaction.
Punish the Wicked | Reaction (1/round)
 Trigger: An enemy deals damage to you.
 Effect: You make a melee attack against your Vow of Vengeance target.",,0,0,0,0,0,0,0,0,0,0,0,0
Avian,Flight,,Trait,Ancestry Trait,,,,,,,,You have flight.,,0,0,0,0,0,0,0,0,0,0,0,1
Avian,Flock Tactics,,Trait,Ancestry Trait,,,,,,,,"1/round, you gain +1 {Accuracy} on a melee attack roll if one of your allies is adjacent to the target.",,0,0,0,0,0,0,0,0,0,0,0,1
Avian,Get The Flock Outta There,,Trait,Ancestry Trait,,,,,Reaction (1/round),,,"Trigger: You take damage or {Stress} not caused by yourself.
Effect: You shift up to half your SPEED.   ",,0,0,0,0,0,0,0,0,0,0,0,1
Avian,Gust,,Trait,Ancestry Trait,,,,,,,,"You gain the Gust spell, which is equipped for free. 
Gust	Melee Spell Attack
Innate, Push 1,  Unique
{5} Fight 
[{Reach} 1, {Line} 5] | [1d6 {Force}]  ",,0,0,0,0,0,0,0,0,0,0,0,1
Basic,Arcane Explosion,,Spell,Ranged Spell Attack,,,2,Auto-Hit,(2) Channel,"[Range = Scope, Blast 1]",5 Force,On Release: You can spend 1 MP to increase the damage to [1d6+5 {Force}].,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Arcane Bolt,,Spell,Ranged Spell Attack,,,1,"Aetheric, Accurate, Indirect",(3) Volley,[Range = Scope],1d3 force,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Companion,,Support,Support,Main,,,Summon,Minor Action,[Range = Scope],,"Companion (Size 1/2, {HP} 5, Dodge/A-Def 10, Speed 0)
You summon or dismiss your companion, which can be a beast, friend, or anything else willing to aid you in combat. 1/turn when you attack a character adjacent to your companion, the companion deals [3 {Physical}] to them.
As a reaction after a character adjacent to your companion moves, your companion can shift 5. They must end this movement as close to the triggering character as possible.
You can only have one companion in play at a time and they retain their current {HP} when dismissed. They regain all {HP} during Rests. If they are defeated, this item is destroyed.",,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Hinder Spell,,Spell,Ranged Spell Attack,,,1,"aetheric, Indirect",(3) Volley,[Range = Scope],2 Stress,"On Hit: The target is DAZED until the end of their next turn.
On Miss: You can spend 1 MP to deal [2 {Stress}] to the target.",,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Magic Missile,,Spell,Spell,,,2,Mana X,(3) Volley,[Range = Scope],-,"For every MP spent, you deal [1d6 {Force}] to a different character within Range, with damage rolled once for all targets.",,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Shocking Grasp,,Spell,Melee Spell Attack,,,1,,(5) Fight,[Reach 1],2 Stress,On Hit: The target can't use reactions until the end of their next turn.,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Lunar Cannon,,Weapon,Ranged Weapon,Heavy,Magitech,-,"Reloading, Slow, Reliable 4",(7) Full Attack,Line 15,3d6+3 Lunar,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Crossbow,,Weapon,Ranged Weapon,Heavy,Bow,-,"Piercing, Reloading",(3) Volley,Range 10,2d6+3 Physical,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Shardgun rifle,,Weapon,Ranged Weapon,Main,Magitech,-,Reliable 2,(3) Volley,Range 10,1d6+1 Force,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Shortbow,,Weapon,Ranged Weapon,Main,Bow,-,Arcing,(3) Volley,Range 10,1d6 Physical,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Crystal Staff,,Weapon,Ranged Weapon,Heavy,Artifact,-,"Mana 2, Aetheric",(3) Volley,"Range 10, Blast 2",2d6 Astral,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Stormbow,,Weapon,Ranged Weapon,Heavy,Bow,-,"Arcing, Push 1",(3) Volley,Range 15,2d6 Astral,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Forbidden Tome,,Weapon,Ranged Weapon,Main,Artifact,-,"Arcing, Aetheric, Mana 1",(3) Volley,"Range 15, Blast 1",1d3+1 Lunar,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Starwand,,Weapon,Ranged Weapon,Light,Artifact,-,"Accurate, Aetheric",(3) Volley,Range 5,1d3 Astral,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Shardgun pistol,,Weapon,Ranged Weapon,Light,Magitech,-,Reliable 1,(3) Volley,"Range 5, Reach 3",1d3 Force,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Shardshredder,,Weapon,Ranged Weapon,Main,Magitech,-,-,(3) Volley,"Range 5, Reach 3",2d3 Force,,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Sigilcaster,,Weapon,Ranged Weapon,Light,Bow,-,"Piercing, Reloading",(3) Volley,"Range 5, Reach 3",2d3 Force,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Aetherbreaker,,Weapon,Melee Weapon,Main,Club,-,Inaccurate,(5) Fight,Reach 1,2d6+1 Force,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Hammer,,Weapon,Melee Weapon,Light,Club,-,Thrown 5,(5) Fight,Reach 1,1d3+1 Physical,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Maul,,Weapon,Melee Weapon,Heavy,Club,-,"Inaccurate, Push 1",(5) Fight,Reach 1,3d6 Physical,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Moonknife,,Weapon,Melee Weapon,Light,Blade,-,"Accurate, Thrown 3",(5) Fight,Reach 1,1d3 Lunar,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Photon Axe,,Weapon,Melee Weapon,Heavy,Blade,-,Reliable 4,(5) Fight,Reach 1,1d6+7 Astral,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Rapier,,Weapon,Melee Weapon,Light,Blade,-,Piercing,(5) Fight,Reach 1,2 Physical,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Sword,,Weapon,Melee Weapon,Main,Blade,-,Reliable 2,(5) Fight,Reach 1,1d6+1 Physical,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Bloodpike,,Weapon,Melee Weapon,Heavy,Longarm,-,-,(5) Fight,Reach 2,2d6+1 Lunar,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Runespear,,Weapon,Melee Weapon,Main,Longarm,-,Thrown 3,(5) Fight,Reach 2,1d6+1 Force,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Whip,,Weapon,Melee Weapon,Light,Longarm,-,-,(5) Fight,Reach 3,1d3 Physical,-,,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Adaptive Caster,,Skill,Skill,,,2,-,-,,-,"When you {6} RELEASE a channeled ability, you can take [2 {Stress}] to release a different one than the one you were channeling. You must pay the costs of both abilities.",,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Aquatic Gear,,Support,Support,Light,,,-,-,,,"You move normally in liquid-based difficult terrain, and have an Aquatic Adaptation.",,0,0,0,0,0,0,0,0,0,0,0,0
Basic,Arcana Crystal,,Support,Support,Light,,,Consumable 3,-,,,"When you use a spell, you can expend a charge for one of the following effects:
- Potent: If it forces saves, it gains +2 SAVE TARGET.
- Seeking: If it's a spell attack, you gain +1 {Accuracy} for the attack.",,0,0,0,0,0,0,0,0,0,0,0,0
Basic,"Armor, Heavy",,Support,Support,Heavy,,,armor,-,,,"+3 {ARMOR}, -1 SPEED, and -1 DODGE.",,0,0,-1,-1,0,0,0,0,3,0,0,0
Basic,"Armor, Light",,Support,Support,Light,,,armor,-,,,+1 {ARMOR}.,,0,0,0,0,0,0,0,0,1,0,0,0
Basic,"Armor, Medium",,Support,Support,Main,,,armor,-,,,+2 {ARMOR} and -1 DODGE.,,0,0,-1,0,0,0,0,0,2,0,0,0
